input,subject,subject_type,data/object,relation,object,object_type
图3-8属性表图3-9属性表方案中SPARQL查询转换为等价的SQL查询属性表既克服了三元组表的自连接问题，又解决了水平表中列数目过多的问题。,属性表,知识存储,属性,特点,克服了三元组表的自连接问题，又解决了水平表中列数目过多的问题,文本
采用属性表存储方案的代表是RDF三元组库Jena[26]。,Jena,知识图谱项目,,属于,属性表,知识存储
4.垂直划分垂直划分（Vertical_Partitioning）存储方案是由美国麻省理工学院的Abadi等人在2007年提出的RDF数据存储方法[27]。,垂直划分,知识存储,属性,英文名,Vertical_Partitioning,文本
该方法以三元组的谓语作为划分维度，将RDF知识图谱划分为若干张只包含(主语，宾语)两列的表，表的总数量即知识图谱中不同谓语的数量；也就是说，为每种谓语建立一张表，表中存放知识图谱中由该谓语连接的主语和宾语值。,垂直划分,知识存储,属性,方法,为每种谓语建立一张表，表中存放知识图谱中由该谓语连接的主语和宾语值,文本
,垂直划分,知识存储,属性,特点,解决了空值问题；解决了多值问题；能够使用归并排序连接快速执行不同谓语表的连接查询操作,文本
图3-10垂直划分存储方案图3-11垂直划分方案中等价的SQL查询不过，垂直划分存储方案依然存在几个缺点：需要创建的表的数目与知识图谱中不同谓语数目相等，而大规模的真实知识图谱（如DBpedia、YAGO、Wikidata等）中谓语数目可能超过几千个，在关系数据库中维护如此规模的表需要很大的开销；越是复杂的知识图谱查询操作，需要执行的表连接操作数量越多，而对于未指定谓语的三元组查询，将发生需要连接全部谓语表进行查询的极端情况；谓语表的数量越多，数据更新维护代价越大，对于一个主语的更新将涉及多张表，产生很高的更新时I/O开销。,垂直划分,知识存储,属性,缺点,维护大规模的表需要很大的开销；越是复杂的知识图谱查询操作，需要执行的表连接操作数量越多；谓语表的数量越多，数据更新维护代价越大，对于一个主语的更新将涉及多张表，产生很高的更新时I/O开销,文本
采用垂直划分存储方案的代表数据库是SW-Store[28]。,SW-Store,知识图谱项目,,属于,垂直划分,知识存储
,六重索引,知识存储,属性,方法,将三元组全部6种排列对应地建立为6张表，即 spo (主语， 谓语， 宾语)、pos (谓语， 宾语， 主语)、osp (宾语， 主语， 谓语)、sop (主语， 宾语， 谓语)、pso (谓语，主语， 宾语)和ops (宾语， 谓语， 主语)。,文本
六重索引通过6张表的连接操作不仅缓解了三元组表的单表自连接问题，而且加速了某些典型知识图谱查询的效率。,六重索引,知识存储,属性,特点,缓解三元组表的单表自连接问题以及加速某些典型知识图谱查询的效率,文本
使用六重索引方法的典型系统有RDF-3X[28]和Hexastore[29]。,RDF-3X,知识图谱项目,,属于,六重索引,知识存储
使用六重索引方法的典型系统有RDF-3X[28]和Hexastore[29]。,Hexastore,知识图谱项目,,属于,六重索引,知识存储
6.DB2RDFDB2RDF是由IBM研究中心于2013年提出的一种面向实体的RDF知识图谱存储方案[30]，该方案是以往RDF关系存储方案的一种权衡折中，既具备了三元组表、属性表和垂直划分方案的部分优点，又克服了这些方案的部分缺点。,DB2RDF,知识存储,属性,创建时间,2013,时间
三元组表的优势在于“行维度”上的灵活性，即存储模式不会随行的增加而变化；DB2RDF方案将这种灵活性扩展到“列维度”上，即将表的列作为谓语和宾语的存储位置，而不将列与谓语进行绑定。,DB2RDF,知识存储,属性,方法,将表的列作为谓语和宾语的存储位置，而不将列与谓语进行绑定,文本
,DB2RDF,知识存储,,包含,dph表,知识存储
,DB2RDF,知识存储,,包含,rph表,知识存储
,DB2RDF,知识存储,,包含,ds表,知识存储
,DB2RDF,知识存储,,包含,rs表,知识存储
"dph（direct_primary_hash）是存储方案的主表，该表中一行存储一个主语（主语列）及其全部谓语（predi列）和宾语（vali列）,0≤i≤k,k为图着色结果值或某个给定值。",dph表,知识存储,属性,内容,一行存储一个主语（主语列）及其全部谓语（predi列）和宾语（vali列）,文本
当dph表中遇到一个多值谓语时，则在相应的宾语处生成一个唯一的id值；将该id值和每个对应的宾语存储为ds表的一行。,ds表,知识存储,属性,内容,当dph表中遇到一个多值谓语时，则在相应的宾语处生成一个唯一的id值；将该id值和每个对应的宾语存储为ds表的一行,文本
3.2.2面向RDF的三元组数据库由于RDF是W3C推荐的表示语义网上关联数据（Linked_Data）的标准格式，RDF也是表示和发布Web上知识图谱的最主要数据格式之一。,面向RDF的三元组数据库,知识存储,,属于,三元组数据库,知识存储
3.2.2面向RDF的三元组数据库由于RDF是W3C推荐的表示语义网上关联数据（Linked_Data）的标准格式，RDF也是表示和发布Web上知识图谱的最主要数据格式之一。,三元组数据库,知识存储,,包含,TRIP,知识存储
面向RDF的三元组数据库是专门为存储大规模RDF数据而开发的知识图谱数据库，其支持RDF的标准查询语言SPARQL。,面向RDF的三元组数据库,知识存储,属性,被定义为,专门为存储大规模RDF数据而开发的知识图谱数据库,文本
主要的开源RDF三元组数据库包括：Apache旗下的Jena、Eclipse旗下的RDF4J以及源自学术界的RDF-3X和gStore；主要的商业RDF三元组数据库包括：Virtuoso、AllegroGraph、GraphDB和BlazeGraph。,面向RDF的三元组数据库,知识存储,,包含,Jena,知识图谱项目
主要的开源RDF三元组数据库包括：Apache旗下的Jena、Eclipse旗下的RDF4J以及源自学术界的RDF-3X和gStore；主要的商业RDF三元组数据库包括：Virtuoso、AllegroGraph、GraphDB和BlazeGraph。,面向RDF的三元组数据库,知识存储,,包含,RDF4J,知识图谱项目
主要的开源RDF三元组数据库包括：Apache旗下的Jena、Eclipse旗下的RDF4J以及源自学术界的RDF-3X和gStore；主要的商业RDF三元组数据库包括：Virtuoso、AllegroGraph、GraphDB和BlazeGraph。,面向RDF的三元组数据库,知识存储,,包含,RDF-3X,知识图谱项目
主要的开源RDF三元组数据库包括：Apache旗下的Jena、Eclipse旗下的RDF4J以及源自学术界的RDF-3X和gStore；主要的商业RDF三元组数据库包括：Virtuoso、AllegroGraph、GraphDB和BlazeGraph。,面向RDF的三元组数据库,知识存储,,包含,gStore,知识图谱项目
主要的开源RDF三元组数据库包括：Apache旗下的Jena、Eclipse旗下的RDF4J以及源自学术界的RDF-3X和gStore；主要的商业RDF三元组数据库包括：Virtuoso、AllegroGraph、GraphDB和BlazeGraph。,面向RDF的三元组数据库,知识存储,,包含,Virtuoso,知识图谱项目
主要的开源RDF三元组数据库包括：Apache旗下的Jena、Eclipse旗下的RDF4J以及源自学术界的RDF-3X和gStore；主要的商业RDF三元组数据库包括：Virtuoso、AllegroGraph、GraphDB和BlazeGraph。,面向RDF的三元组数据库,知识存储,,包含,AllegroGraph,知识图谱项目
主要的开源RDF三元组数据库包括：Apache旗下的Jena、Eclipse旗下的RDF4J以及源自学术界的RDF-3X和gStore；主要的商业RDF三元组数据库包括：Virtuoso、AllegroGraph、GraphDB和BlazeGraph。,面向RDF的三元组数据库,知识存储,,包含,GraphDB,知识图谱项目
主要的开源RDF三元组数据库包括：Apache旗下的Jena、Eclipse旗下的RDF4J以及源自学术界的RDF-3X和gStore；主要的商业RDF三元组数据库包括：Virtuoso、AllegroGraph、GraphDB和BlazeGraph。,面向RDF的三元组数据库,知识存储,,包含,BlazeGraph,知识图谱项目
主要的开源RDF三元组数据库包括：Apache旗下的Jena、Eclipse旗下的RDF4J以及源自学术界的RDF-3X和gStore；主要的商业RDF三元组数据库包括：Virtuoso、AllegroGraph、GraphDB和BlazeGraph。,Jena,知识图谱项目,属性,创建者,Apache,人物/实验室
主要的开源RDF三元组数据库包括：Apache旗下的Jena、Eclipse旗下的RDF4J以及源自学术界的RDF-3X和gStore；主要的商业RDF三元组数据库包括：Virtuoso、AllegroGraph、GraphDB和BlazeGraph。,RDF4J,知识图谱项目,属性,创建者,Eclipse,人物/实验室
1.开源RDF三元组数据库RDF4JRDF4J目前是Eclipse基金会旗下的开源孵化项目，其前身是荷兰软件公司Aduna开发的Sesame框架。,RDF4J,知识图谱项目,,来源,Sesame框架,知识图谱项目
1.开源RDF三元组数据库RDF4JRDF5J目前是Eclipse基金会旗下的开源孵化项目，其前身是荷兰软件公司Aduna开发的Sesame框架。,Sesame框架,知识图谱项目,属性,创建者,Aduna,人物/实验室
RDF4J框架的重要特点是其模块化的软件架构设计。,RDF4J,知识图谱项目,属性,特点,模块化的软件架构设计,文本
图3-16RDF4J的高层架构图（1）底层的RDF模型定义了URI、空节点（Blank_Node）、字面值（Literal）和语句（Statement）等RDF基本元素。,RDF架构,知识图谱项目,,包含,RDF模型,知识图谱项目
图3-16RDF4J的高层架构图（1）底层的RDF模型定义了URI、空节点（Blank_Node）、字面值（Literal）和语句（Statement）等RDF基本元素。,RDF模型,知识图谱项目,属性,内容,定义了URI、空节点（Blank_Node）、字面值（Literal）和语句（Statement）等RDF基本元素,文本
（2）Rio代表“RDF_I/O”，即RDF输入/输出，包括各种RDF文件格式的解析器（Parser）和编写器（Writer），解析器负责将RDF文件解析为RDF模型中的三元组语句，编写器负责将三元组语句写为RDF文件。,RDF架构,知识图谱项目,,包含,Rio,知识图谱项目
（2）Rio代表“RDF_I/O”，即RDF输入/输出，包括各种RDF文件格式的解析器（Parser）和编写器（Writer），解析器负责将RDF文件解析为RDF模型中的三元组语句，编写器负责将三元组语句写为RDF文件。,Rio,知识图谱项目,属性,内容,各种RDF文件格式的解析器（Parser）和编写器（Writer），解析器负责将RDF文件解析为RDF模型中的三元组语句，编写器负责将三元组语句写为RDF文件,文本
（4）存储库API（Repository_API）是用户使用的RDF管理和处理高层API，提供RDF的存储、查询和推理等服务，面向终端用户，简单易用；存储库API的一种实现是基于本地SAIL实现的SailRepository，另一种是基于远程HTTP服务器实现的HttpRepository。,RDF架构,知识图谱项目,,包含,存储库API,知识图谱项目
（4）存储库API（Repository_API）是用户使用的RDF管理和处理高层API，提供RDF的存储、查询和推理等服务，面向终端用户，简单易用；存储库API的一种实现是基于本地SAIL实现的SailRepository，另一种是基于远程HTTP服务器实现的HttpRepository。,存储库API,知识图谱项目,属性,内容,提供RDF的存储、查询和推理等服务，面向终端用户，简单易用,文本
（5）架构图的顶层是用户开发的应用程序和HTTP服务器，用户应用程序直接调用存储库API;HTTP服务器实现了通过HTTP访问存储库API的Web服务，可通过HttpClient库与HTTP服务器进行远程通信，从而访问远程RDF4J存储库。,RDF架构,知识图谱项目,,包含,用户开发的应用程序,知识图谱项目
（5）架构图的顶层是用户开发的应用程序和HTTP服务器，用户应用程序直接调用存储库API;HTTP服务器实现了通过HTTP访问存储库API的Web服务，可通过HttpClient库与HTTP服务器进行远程通信，从而访问远程RDF4J存储库。,RDF架构,知识图谱项目,,包含,HTTP服务器,知识图谱项目
（5）架构图的顶层是用户开发的应用程序和HTTP服务器，用户应用程序直接调用存储库API;HTTP服务器实现了通过HTTP访问存储库API的Web服务，可通过HttpClient库与HTTP服务器进行远程通信，从而访问远程RDF4J存储库。,用户开发的应用程序,知识图谱项目,属性,内容,直接调用存储库API,文本
（5）架构图的顶层是用户开发的应用程序和HTTP服务器，用户应用程序直接调用存储库API;HTTP服务器实现了通过HTTP访问存储库API的Web服务，可通过HttpClient库与HTTP服务器进行远程通信，从而访问远程RDF4J存储库。,HTTP服务器,知识图谱项目,属性,内容,通过HTTP访问存储库API的Web服务,文本
,RDF-3X,知识图谱项目,属性,创建者,德国马克斯·普朗克计算机科学研究所,人物/实验室
RDF-3X的最大特点在于其为RDF数据精心打造的压缩物理存储方案、查询处理和查询优化技术。,RDF-3X,知识图谱项目,属性,特点,为RDF数据精心打造的压缩物理存储方案、查询处理和查询优化技术,文本
3.开源RDF三元组数据库gStoregStore是基于图的RDF三元组数据库。,gStore,知识图谱项目,,属于,基于图的RDF三元组数据库,知识存储
gStore将RDF图G中的每个实体节点及其邻居属性和属性值编码成一个二进制位串，由这些位串作为节点组成一张与RDF图G对应的标签图G*。,gStore,知识图谱项目,属性,内容,将RDF图G中的每个实体节点及其邻居属性和属性值编码成一个二进制位串，由这些位串作为节点组成一张与RDF图G对应的标签图G*,文本
图3-21使用Virtuoso进行SPARQL查询5.商业RDF三元组数据库AllegroGraphAllegroGraph是Franz公司开发的RDF三元组数据库。,AllegroGraph,知识图谱项目,属性,创建者,Franz,人物/实验室
6.商业RDF三元组数据库GraphDBGraphDB是RDF三元组数据库，其前身OWLIM一直是支持W3C语义Web标准的主流产品。,GraphDB,知识图谱项目,,来源,OWLIM,知识图谱项目
,知识图谱,知识图谱,,包含,数据模型,知识图谱
图3-27Blazegraph的Web用户界面8.商业RDF三元组数据库StardogStardog是由美国Stardog_Union公司开发的RDF三元组数据库，其首个公开发布版本是2012年2月发布的Stardog_0.9。,Stardog,知识图谱项目,属性,创建者,Stardog_Union公司,人物/实验室
Neo4j基于属性图模型，其存储管理层为属性图结构中的节点、节点属性、边、边属性等设计了专门的存储方案。,Neo4j,知识图谱项目,,属于,原生图数据库,知识存储
Neo4j基于属性图模型，其存储管理层为属性图结构中的节点、节点属性、边、边属性等设计了专门的存储方案。这使得Neo4j在存储层对于图数据的存取效率天生就优于关系数据库。同时，Neo4j还具备OLTP数据库必需的ACID事务处理功能。,Neo4j,知识图谱项目,属性,特点,存储层对于图数据的存取效率天生就优于关系数据库；具备OLTP数据库必需的ACID事务处理功能,文本
3.图数据库OrientDBOrientDB对于数据模式的支持也相对灵活，可以管理无模式数据（Schema-less），也可以像关系数据库那样定义完整的模式（Schema-full），还可以适应介于两者之间的混合模式（Schema-mixed）数据。,OrientDB,知识图谱项目,,属于,原生图数据库,知识存储
3.图数据库OrientDBOrientDB对于数据模式的支持也相对灵活，可以管理无模式数据（Schema-less），也可以像关系数据库那样定义完整的模式（Schema-full），还可以适应介于两者之间的混合模式（Schema-mixed）数据。,OrientDB,知识图谱项目,属性,特点,对于数据模式的支持也相对灵活，可以管理无模式数据（Schema-less），也可以像关系数据库那样定义完整的模式（Schema-full），还可以适应介于两者之间的混合模式（Schema-mixed）数据,文本
,Cayley,知识图谱项目,,属于,原生图数据库,知识存储
虽然不同图数据库的具体存储方案各有差异，但一般认为具有“无索引邻接”特性（Index-FreeAdjacency）的图数据库才称为原生图数据库[35]。,原生图数据库,知识存储,属性,被定义为,具有“无索引邻接”特性（Index-FreeAdjacency）的图数据库,文本
虽然不同图数据库的具体存储方案各有差异，但一般认为具有“无索引邻接”特性（Index-FreeAdjacency）的图数据库才称为原生图数据库[35]。,原生图数据库,知识存储,属性,特点,无索引邻接,文本
,原生图数据库,知识存储,,等价,实现无索引邻接的图数据库,知识存储
在实现了“无索引邻接”的图数据库中，每个节点维护着指向其邻接节点的直接引用，这相当于每个节点都可看作是其邻接节点的一个“局部索引”，用其查找邻接节点比使用“全局索引”更能节省时间。,实现无索引邻接的图数据库,知识存储,属性,特点,每个节点维护着指向其邻接节点的直接引用，这相当于每个节点都可看作是其邻接节点的一个“局部索引”，用其查找邻接节点比使用“全局索引”更能节省时间。,文本
,知识存储关键技术,知识存储,,包含,知识图谱数据库的存储,知识存储
,知识存储关键技术,知识存储,,包含,知识图谱数据库的索引,知识存储
3.3.2知识图谱数据库的索引图数据上的索引一种是对节点或边上属性数据的索引，一种是对图结构的索引；前者可应用关系数据库中已有的B+树索引技术直接实现，而后者仍是业界没有达成共识的、开放的研究问题。,知识图谱数据库的索引,知识存储,,包含,属性数据的索引,知识存储
3.3.2知识图谱数据库的索引图数据上的索引一种是对节点或边上属性数据的索引，一种是对图结构的索引；前者可应用关系数据库中已有的B+树索引技术直接实现，而后者仍是业界没有达成共识的、开放的研究问题。,知识图谱数据库的索引,知识存储,,包含,图结构索引,知识存储
2.图结构索引图结构索引是为图数据中的点边结构信息建立索引的方法。,图结构索引,知识存储,属性,被定义为,图数据中的点边结构信息建立索引的方法,文本
大体上，图结构索引分为“基于路径的”和“基于子图的”两种。,图结构索引,知识存储,,包含,基于路径的图索引,知识存储
大体上，图结构索引分为“基于路径的”和“基于子图的”两种。,图结构索引,知识存储,,包含,基于子图的索引,知识存储
一种典型的基于路径的图索引叫作GraphGrep[36]。,GraphGrep,知识图谱项目,,属于,基于路径的图索引,知识存储
这种索引将图中长度小于或等于一个固定长度的全部路径构建为索引结构。,GraphGrep,知识图谱项目,属性,方法,将图中长度小于或等于一个固定长度的全部路径构建为索引结构,文本
基于子图的索引可以看作是基于路径索引的一般化形式，是将图数据中的某些子图结构信息作为关键字，将该子图的实例数据作为值而构建的索引结构。,基于子图的索引,知识存储,属性,方法,将图数据中的某些子图结构信息作为关键字，将该子图的实例数据作为值而构建的索引结构,文本
 ,知识图谱数据库管理,知识存储,,实现,知识图谱数据库,知识存储
 ,RDF,知识存储,,包含,RDF图,知识存储
 ,知识图图数据模型,知识存储,,属于,知识图谱数据库,知识存储
 ,openCypher,知识图谱项目,,实现,基于关系数据库的存储方案,知识存储
 ,Cypher,知识存储,,包含,openCypher,知识图谱项目
 ,RDF架构,知识图谱项目,,属于,RDF,知识存储
 ,知识图谱数据库的索引,知识存储,,实现,知识图谱数据库,知识存储
,水平存储方案,知识存储,,属于,知识存储,知识存储
,Stardog,知识图谱项目,,属于,知识图谱项目,知识图谱项目
,知识图谱数据库,知识存储,,实现,知识存储,知识存储
